timestamp_iso,session_id,event_type,user_input,assistant_response,expected_answer,phase,predicted_length,is_fallback,is_match
2025-08-25T20:06:05.482243,4245d6ff-7b21-42e8-a408-8266ca22d289,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
2025-08-25T20:13:28.149155,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,When is my next cycle expected? ,"Based on the information provided, your next cycle is expected to begin after the luteal phase, which typically lasts around 14 days. If pregnancy does not occur, menstruation will take place at the end of the luteal phase.",,follicular,33.23,0,0
2025-08-25T20:13:39.550895,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,WHats the date ? ,I'm not sure based on the available context.,,follicular,33.23,1,0
2025-08-25T20:13:57.967034,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,When is my next period?,"Based on the information provided, your next period is expected to occur at the end of the luteal phase, which typically lasts around 14 days.",2025-09-15,follicular,33.23,0,0
2025-08-25T20:14:20.444458,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,When is my next period? Give me the date,"Based on the context provided, your next period should occur approximately 14 days after ovulation, which is when the luteal phase ends. If you know when you ovulated, you can estimate the date of your next period by adding 14 days to that ovulation date.",,follicular,33.23,0,0
2025-08-25T20:14:32.981208,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,What Phase am I in today? ,You are currently in the follicular phase.,,follicular,33.23,0,0
2025-08-25T20:14:54.016544,4245d6ff-7b21-42e8-a408-8266ca22d289,chat,Whats my mood today?,"Based on the context provided, since you are currently in the follicular phase, you are likely experiencing improved moods and increased energy.",,follicular,33.23,0,0
2025-08-25T20:24:34.034229,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
2025-08-25T20:25:09.284006,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,chat,When is my next period?,"Based on the provided context, your next period should occur approximately 14 days after ovulation, which is the average length of the luteal phase.",2025-09-15,follicular,33.23,0,0
2025-08-25T20:25:24.163276,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,chat,What Phase am I in today?,"Based on the information provided, you are currently in the follicular phase of your menstrual cycle.",,follicular,33.23,0,0
2025-08-25T20:25:40.949394,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,chat,What's my mood today?,"Based on the information provided, you are currently in the follicular phase, where most women experience improved moods and increased energy. Therefore, your mood today is likely to be positive and energetic.",Likely energetic or elevated mood,follicular,33.23,0,0
2025-08-25T20:25:52.624205,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,chat,Why am I feeling happy today?,"You are feeling happy today because you are currently in the follicular phase of your menstrual cycle. As estrogen levels rise during this phase, most women experience improved moods and increased energy.",Follicular phase hormones → elevated mood,follicular,33.23,0,0
2025-08-25T20:26:01.683079,e5fe14cf-a279-4f69-a0e9-f867b7a7832e,chat,Why am I feeling sad today?,"""I'm not sure based on the available context.""",Luteal phase hormone drop → mood dips,follicular,33.23,1,0
2025-08-25T20:30:01.860865,fe39b972-9666-4fa7-91c7-a9b04efc5934,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
2025-08-25T20:30:14.311258,fe39b972-9666-4fa7-91c7-a9b04efc5934,chat,When is my next period?,"🗓️ Based on your predicted cycle length, your next period is expected on September 15, 2025.",2025-09-15,follicular,33.23,0,0
2025-08-25T20:30:31.164571,fe39b972-9666-4fa7-91c7-a9b04efc5934,chat,What Phase am I in today?,I'm not sure based on the available context.,,follicular,33.23,1,0
2025-08-25T20:30:43.439207,fe39b972-9666-4fa7-91c7-a9b04efc5934,chat,What is my mood today? ,I'm not sure based on the available context.,,follicular,33.23,1,0
2025-08-25T20:32:41.841776,0a52b2ee-4bf8-4d73-86de-0eb6e7a2a3a2,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
2025-08-25T20:32:56.391088,0a52b2ee-4bf8-4d73-86de-0eb6e7a2a3a2,chat,When is my next period?,"Based on the information provided, if your next period is expected on September 15, 2025, and the luteal phase typically lasts around 14 days, your next period should start around September 1, 2025.

🗓️ Based on your predicted cycle length, your next period is expected on September 15, 2025.",2025-09-15,follicular,33.23,0,1
2025-08-25T20:33:16.001959,0a52b2ee-4bf8-4d73-86de-0eb6e7a2a3a2,chat,What phase am I in today?,"Based on the available context, you are currently in the follicular phase.",Follicular,follicular,33.23,0,1
2025-08-25T20:34:42.306499,4de93177-56a4-4f3c-8b33-172cf4f57cf7,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
2025-08-25T20:35:04.396149,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,When is my next period? ,"Based on the information provided, your next period is expected to occur around 14 days after ovulation, which typically happens during the luteal phase. Since your next period is expected on September 15, 2025, you can estimate that ovulation will likely occur around September 1, 2025. Therefore, your next period is expected around September 15, 2025.

🗓️ Based on your predicted cycle length, your next period is expected on September 15, 2025.",,follicular,33.23,0,0
2025-08-25T20:35:14.692388,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,What Phase am I in today?,You are currently in the follicular phase.,,follicular,33.23,0,0
2025-08-25T20:35:25.135615,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,What's my mood today?,"Based on the context provided, since you are currently in the follicular phase, you are likely experiencing improved moods and increased energy.",Likely energetic or elevated mood,follicular,33.23,0,1
2025-08-25T20:35:38.617535,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,Why am i feeling happy today?,"You are feeling happy today because you are currently in the follicular phase of your menstrual cycle. During this phase, estrogen levels rise, leading to improved moods and increased energy.",,follicular,33.23,0,0
2025-08-25T20:35:56.783156,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,What phase am I in today?,"Based on the context provided, you are currently in the follicular phase.",Follicular,follicular,33.23,0,1
2025-08-25T20:36:05.895369,4de93177-56a4-4f3c-8b33-172cf4f57cf7,chat,When is my next period?,"Based on the information provided, your next period is expected to occur around September 29, 2025, which is approximately 14 days after the start of your luteal phase.

🗓️ Based on your predicted cycle length, your next period is expected on September 15, 2025.",2025-09-15,follicular,33.23,0,1
2025-08-25T20:36:50.286274,60eee75d-e371-434a-84df-62cebc6504e7,conversion,Submitted menstrual health data,Predicted 33.2 days,,,33.23,0,0
